funding_total_usd,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at,target,funding_missing,funding_total_usd_log,founded_at_missing,first_funding_at_missing,last_funding_at_missing,startup_age_days,time_to_first_funding_days,funding_duration_days,main_category,category_count
6700000.0,USA,NC,Raleigh,Morrisville,2,2004-01-01,2005-11-11,2007-01-31,1,0,15.717618233614914,0,0,0,4355.0,680.0,446.0,Software,1
23857750.0,DEU,missing,missing,missing,5,2010-09-01,2010-12-21,2013-11-12,1,0,16.98761971201879,0,0,0,1920.0,111.0,1057.0,Android,17
6528902.0,USA,TX,Austin,Austin,3,2006-01-01,2009-02-09,2012-07-13,0,0,15.691749493265636,0,0,0,3624.0,1135.0,1250.0,Analytics,3
650000.0,NZL,G2,Wellington,Wellington,1,2010-05-25,2011-03-01,2011-03-01,0,0,13.384729180332174,0,0,0,2019.0,280.0,0.0,Curated Web,1
20068328.451591,GBR,H9,London,London,4,2004-01-01,2005-09-01,2013-11-25,1,0,16.814653481214084,0,0,0,4355.0,609.0,3007.0,Content Creators,6
2100000.0,CAN,ON,Toronto,Toronto,1,,2009-08-07,2009-08-07,0,0,14.557448378884015,1,0,0,3259.0,548.0,0.0,Advertising,8
5800000.0,missing,missing,missing,missing,1,,2012-07-01,2012-07-01,0,1,15.573368647930426,1,0,0,3259.0,548.0,0.0,missing,0
5800000.0,missing,missing,missing,missing,1,2008-01-01,2008-03-02,2008-03-02,0,1,15.573368647930426,0,0,0,2894.0,61.0,0.0,Curated Web,2
12250000.0,USA,MA,Boston,Woburn,2,,2008-03-01,2010-12-09,0,0,16.32103657658766,1,0,0,3259.0,548.0,1013.0,Games,2
1500000.0,ISR,missing,missing,missing,2,,2008-01-01,2008-01-01,0,0,14.220976332738882,1,0,0,3259.0,548.0,0.0,Messaging,3
126000000.0,USA,CA,SF Bay Area,San Jose,1,1987-01-01,2013-11-20,2013-11-20,1,0,18.65179247285226,0,0,0,10564.0,9820.0,0.0,Contact Centers,4
1292301.0,missing,missing,missing,missing,1,2010-01-01,2013-07-05,2013-07-05,0,0,14.071935682140344,0,0,0,2163.0,1281.0,0.0,Apps,4
30000000.0,CHN,3,Fuzhou Shi,Fuzhou Shi,1,2010-09-01,2011-12-01,2011-12-01,1,0,17.216707972959764,0,0,0,1920.0,456.0,0.0,Mobile,1
1380700.0,ITA,9,Milan,Milan,1,2011-10-01,2011-10-15,2011-10-15,0,0,14.138101899174279,0,0,0,1525.0,14.0,0.0,Finance,1
83574271.0,CHN,23,Shanghai,Shanghai,5,2005-01-01,2005-08-12,2012-12-14,1,0,18.24124627949364,0,0,0,3989.0,223.0,2681.0,E-Commerce,2
105651.0,AUS,2,Sydney,Sydney,2,2010-01-01,2012-03-30,2012-06-01,0,0,11.567905953295691,0,0,0,2163.0,819.0,63.0,Fashion,2
5800000.0,CHN,23,Shanghai,Shanghai,1,2005-01-01,2010-08-23,2010-08-23,0,1,15.573368647930426,0,0,0,3989.0,2060.0,0.0,E-Commerce,1
80000.0,CHN,22,Beijing,Beijing,2,2009-11-18,2009-11-18,2010-01-06,0,0,11.289794413577894,0,0,0,2207.0,0.0,49.0,Automotive,3
5800000.0,DEU,16,Berlin,Berlin,1,2012-01-01,2013-04-18,2013-04-18,1,1,15.573368647930426,0,0,0,1433.0,473.0,0.0,Point of Sale,2
70000.0,RUS,71,Perm,Yekaterinburg,1,2011-05-01,2011-05-01,2011-05-01,0,0,11.156264806643742,0,0,0,1678.0,0.0,0.0,SEO,2
925000.0,USA,WA,Seattle,Redmond,2,2010-06-01,2013-05-30,2013-10-03,1,0,13.73755009757506,0,0,0,2012.0,1094.0,126.0,Enterprises,6
5800000.0,missing,missing,missing,missing,1,,2015-08-18,2015-08-18,0,1,15.573368647930426,1,0,0,3259.0,548.0,0.0,missing,0
10312103.0,USA,CA,SF Bay Area,San Mateo,2,2009-10-01,2010-03-15,2011-03-25,0,0,16.148828908887776,0,0,0,2255.0,165.0,375.0,Games,2
3000000.0,USA,CA,San Diego,San Diego,1,,2009-06-03,2009-06-03,1,0,14.914123179965662,1,0,0,3259.0,548.0,0.0,Biotechnology,1
5800000.0,USA,TN,Nashville,Nashville,1,1989-01-01,1994-04-14,1994-04-14,1,1,15.573368647930426,0,0,0,9833.0,1929.0,0.0,missing,0
10200000.0,CHN,19,Shenyang,Shenyang,1,2003-01-01,2011-01-19,2011-01-19,0,0,16.13789837629371,0,0,0,4720.0,2940.0,0.0,Clean Technology,1
15000.0,missing,missing,missing,missing,1,2011-03-05,2011-03-05,2011-03-05,0,0,9.61587214452889,0,0,0,1735.0,0.0,0.0,Networking,4
118000000.0,USA,CA,SF Bay Area,San Jose,4,2004-10-01,2005-01-01,2013-10-03,1,0,18.586195190904515,0,0,0,4081.0,92.0,3197.0,Cloud Computing,10
502860000.0,USA,MA,Worcester,Westborough,8,2001-01-01,2005-11-01,2012-06-07,1,0,20.035822361291768,0,0,0,5450.0,1765.0,2410.0,Batteries,4
500000.0,RUS,66,St. Petersburg,Saint Petersburg,1,,2013-05-13,2013-05-13,0,0,13.122365377402328,1,0,0,3259.0,548.0,0.0,Online Rental,3
5800000.0,missing,missing,missing,missing,1,,2014-01-21,2014-01-21,0,1,15.573368647930426,1,0,0,3259.0,548.0,0.0,missing,0
5800000.0,USA,CA,SF Bay Area,Sunnyvale,1,,2005-03-08,2005-03-08,1,1,15.573368647930426,1,0,0,3259.0,548.0,0.0,3D Technology,1
50000000.0,CHN,30,Shenzhen,Shenzhen,2,2000-01-01,2004-10-01,2005-12-08,1,0,17.72753358339242,0,0,0,5816.0,1735.0,433.0,Music,1
5800000.0,CHN,2,Shanghai,Changzhou,1,1993-01-01,2004-11-10,2004-11-10,1,1,15.573368647930426,0,0,0,8372.0,4331.0,0.0,Hardware + Software,1
500000.0,USA,IN,Indianapolis,Indianapolis,1,2008-01-01,2011-01-03,2011-01-03,0,0,13.122365377402328,0,0,0,2894.0,1098.0,0.0,Biotechnology,1
